gene_id,DRR546743,DRR546744,DRR546790,SRR2960319,SRR5889337,SRR8996966,SRR8996977,SRR8997009
gene-LOC100684726|LOC100684726,49,29,87,78,0,201,809,91
gene-VNN1|VNN1,6291,1965,5030,10138,18630,15033,41379,11359
gene-LOC102155332|LOC102155332,14,0,9,7,75,73,191,45
gene-LOC476208|LOC476208,30,23,7,81,58,17,20,48
gene-LOC611353|LOC611353,0,0,0,0,0,0,0,0
gene-TCF21|TCF21,30,33,226,469,418,593,636,244
gene-LOC119869906|LOC119869906,0,0,2,4,3,2,11,4
gene-LOC111095265|LOC111095265,34,54,64,93,155,242,691,67
gene-RPS12|RPS12,11538,14551,19568,16272,13041,28241,61672,34589
gene-LOC119869922|LOC119869922,5,1,38,13,9,14,70,59
gene-LOC119869914|LOC119869914,2,1,52,12,15,18,87,53
gene-SLC2A12|SLC2A12,205,192,156,270,590,471,1036,335
gene-LOC119869951|LOC119869951,0,0,1,0,0,1,1,1
gene-TBPL1|TBPL1,84,99,217,685,60,257,937,52
gene-EYA4|EYA4,850,1103,568,1395,1070,954,3438,1423
gene-LOC111095294|LOC111095294,0,0,0,5,0,0,0,0
gene-LOC100684703|LOC100684703,2,2,1,7,0,0,1,0
gene-LOC102156588|LOC102156588,5,0,0,3,0,2,0,0
gene-SGK1|SGK1,1080,374,908,3416,554,1005,14230,1624
gene-LOC100684930|LOC100684930,6,0,0,0,0,0,0,0
gene-ALDH8A1|ALDH8A1,4485,2162,7928,31653,19614,20052,21805,14283
gene-HBS1L|HBS1L,1045,1325,1734,2507,2071,2733,8809,3446
gene-LOC106558619|LOC106558619,0,0,0,0,0,0,0,0
gene-MTFR2|MTFR2,72,81,175,39,25,49,573,37
gene-PDE7B|PDE7B,65,34,140,282,192,183,1574,280
gene-LOC111095400|LOC111095400,0,0,0,0,0,0,0,0
gene-MYB|MYB,0,0,20,22,96,22,515,19
gene-LOC111095371|LOC111095371,0,0,0,0,1,0,0,0
gene-AHI1|AHI1,94,67,392,149,160,209,890,247
gene-LOC102156675|LOC102156675,0,0,3,0,0,0,0,0
gene-LOC119870735|LOC119870735,0,0,2,0,0,0,0,0
gene-LOC119870734|LOC119870734,0,0,3,1,0,0,0,0
gene-LOC102153001|LOC102153001,17,5,25,28,11,16,13,13
gene-LOC102152959|LOC102152959,0,0,0,0,0,0,0,0
gene-BCLAF1|BCLAF1,1507,1860,3374,1915,3064,2592,10828,4780
gene-LOC106558576|LOC106558576,8,32,31,35,48,59,87,47
gene-LOC119870738|LOC119870738,0,0,0,0,0,0,7,0
gene-IL22RA2|IL22RA2,4,0,22,6,34,0,210,28
gene-LOC119869884|LOC119869884,0,0,2,0,0,2,2,2
gene-LOC119870737|LOC119870737,0,0,7,22,2,21,8,4
gene-PEX7|PEX7,907,573,818,1732,1181,2183,3439,932
gene-MAP7|MAP7,1269,295,666,1443,778,1630,2426,794
gene-LOC102154283|LOC102154283,53,11,56,86,124,52,294,92
gene-LOC102156750|LOC102156750,0,2,2,7,3,4,0,7
gene-MAP3K5|MAP3K5,423,627,817,1119,502,862,2594,1037
gene-LOC100685756|LOC100685756,4,3,0,0,0,0,4,0
gene-LOC102155165|LOC102155165,3,0,0,0,0,0,54,0
gene-LOC111090647|LOC111090647,0,0,4,0,3,0,22,0
gene-TNFAIP3|TNFAIP3,429,876,1018,1226,431,962,5365,698
gene-LOC102155014|LOC102155014,1324,909,3693,4332,787,3805,1377,596
gene-IFNGR1|IFNGR1,1340,708,1431,1308,1145,1039,9283,2180
gene-LOC102156831|LOC102156831,0,0,3,0,0,0,0,0
gene-LOC111095455|LOC111095455,0,0,0,4,0,0,0,0
gene-ARFGEF3|ARFGEF3,48,241,140,800,261,384,1479,1135
gene-PERP|PERP,7073,5792,5326,7729,14551,13049,30245,9274
gene-LOC111095460|LOC111095460,9,10,3,7,6,19,118,10
gene-HEBP2|HEBP2,1359,1299,228,2467,4165,4231,14892,2101
gene-CCDC28A|CCDC28A,670,438,719,1099,1915,2180,2849,1161
gene-LOC100856236|LOC100856236,2,0,5,3,3,0,1,3
gene-NHSL1|NHSL1,616,708,696,1549,1381,1548,2563,2182
gene-FAM133B|FAM133B,31,26,41,19,70,73,122,56
gene-ABRACL|ABRACL,654,173,698,365,335,367,3363,673
gene-REPS1|REPS1,586,1010,794,1155,880,977,3459,1106
gene-ECT2L|ECT2L,9,4,18,9,37,18,57,16
gene-TXLNB|TXLNB,0,3,7,27,10,13,28,9
gene-HECA|HECA,553,371,1329,1855,1330,1533,5373,1703
gene-LOC111095494|LOC111095494,8,8,11,4,16,12,71,8
gene-LOC102156887|LOC102156887,0,0,5,14,6,0,2,0
gene-LOC106558610|LOC106558610,19,0,9,11,12,0,86,42
gene-CITED2|CITED2,1327,1079,2924,5114,2021,1325,6134,2805
gene-LOC611622|LOC611622,1,3,2,1,1,1,2,0
gene-LOC106558957|LOC106558957,4,2,2,11,0,8,1,0
gene-LOC100686429|LOC100686429,2,0,2,0,0,1,3,3
gene-NMBR|NMBR,0,0,0,0,0,0,0,0
gene-GJE1|GJE1,0,0,0,0,0,0,0,0
gene-VTA1|VTA1,701,856,835,969,1282,1626,3978,1293
gene-ADGRG6|ADGRG6,243,46,179,220,88,62,913,432
gene-LOC100856282|LOC100856282,2,0,3,3,0,1,1,0
gene-HIVEP2|HIVEP2,272,468,316,1765,418,675,2105,609
gene-LOC111095529|LOC111095529,0,0,0,3,0,0,0,3
gene-LOC111095530|LOC111095530,0,3,3,5,0,2,0,0
gene-AIG1|AIG1,3803,2995,2392,7785,6832,11615,9839,5624
gene-ADAT2|ADAT2,90,192,206,320,291,236,1041,289
gene-PEX3|PEX3,536,366,535,541,895,956,2859,655
gene-LOC111095543|LOC111095543,0,0,6,0,8,0,36,0
gene-LOC102151921|LOC102151921,0,0,0,0,0,3,0,0
gene-FUCA2|FUCA2,1740,1024,806,2898,4913,5577,9509,2624
gene-LOC100856400|LOC100856400,165,290,69,30,26,184,102,25
gene-LOC111095548|LOC111095548,7,5,11,27,21,8,106,10
gene-LOC119870688|LOC119870688,0,0,0,0,0,0,0,0
gene-PHACTR2|PHACTR2,1554,1280,1849,2241,2751,2646,14961,3143
gene-SF3B5|SF3B5,546,681,690,2593,1261,2398,5360,895
gene-ZC2HC1B|ZC2HC1B,14,36,39,55,44,39,89,52
gene-PLAGL1|PLAGL1,61,21,128,201,133,68,871,149
gene-LTV1|LTV1,322,838,496,678,552,943,2216,738
gene-LOC119875039|LOC119875039,3,26,17,2,9,6,28,0
gene-LOC119870746|LOC119870746,2,1,1,1,0,2,12,0
gene-STX11|STX11,193,61,341,852,205,178,3865,364
gene-LOC611761|LOC611761,21,20,4,23,0,3,6,0
gene-LOC484021|LOC484021,96,104,49,65,17,85,197,16
gene-EPM2A|EPM2A,72,82,94,237,137,139,264,112
gene-LOC119870748|LOC119870748,0,0,0,0,0,0,0,0
gene-LOC111095602|LOC111095602,0,0,0,0,0,0,0,0
gene-FBXO30|FBXO30,781,439,1700,1248,736,647,2882,1329
gene-SHPRH|SHPRH,288,305,559,402,408,495,1570,942
gene-LOC111095616|LOC111095616,0,0,7,0,3,0,8,2
gene-LOC119869934|LOC119869934,0,0,0,0,0,0,0,0
gene-LOC119869876|LOC119869876,0,0,0,0,0,0,0,0
gene-UTRN|UTRN,2078,2253,956,2362,875,1232,5111,2460
gene-RAB32|RAB32,565,764,853,1425,1200,1393,5667,761
gene-ADGB|ADGB,10,26,87,22,161,53,94,10
gene-LOC111098512|LOC111098512,0,0,5,0,0,0,10,0
gene-LOC102154590|LOC102154590,3,0,2,1,0,6,2,4
gene-LOC102154803|LOC102154803,13,74,33,13,11,13,110,7
gene-LOC100688424|LOC100688424,0,0,0,0,0,0,0,0
gene-SAMD5|SAMD5,59,14,56,57,113,132,325,72
gene-STXBP5|STXBP5,960,683,731,836,1605,1785,4735,1438
gene-LOC119870656|LOC119870656,148,275,304,273,454,631,2489,462
gene-UST|UST,331,127,274,686,401,505,3226,410
gene-SASH1|SASH1,2641,203,1511,2295,1146,1665,5662,3156
gene-LOC106558649|LOC106558649,0,0,1,2,0,0,1,0
gene-PPIL4|PPIL4,217,381,550,371,458,471,1621,491
gene-TAB2|TAB2,1422,2299,2045,2173,2359,3687,6036,2533
gene-LATS1|LATS1,168,376,305,135,195,95,358,422
gene-NUP43|NUP43,205,335,557,427,414,419,1464,578
gene-GINM1|GINM1,1377,957,2405,1836,3070,2922,11760,2456
gene-KATNA1|KATNA1,302,306,544,421,452,665,2034,496
gene-PCMT1|PCMT1,782,960,1374,1850,1457,1885,7138,1406
gene-LOC102156136|LOC102156136,1,1,0,1,0,3,6,2
gene-LOC100683099|LOC100683099,22,347,85,155,178,215,501,23
gene-LRP11|LRP11,615,1104,270,869,853,829,5404,963
gene-PPP1R14C|PPP1R14C,126,194,5,766,555,1176,380,83
gene-LOC119869949|LOC119869949,0,0,0,0,0,0,0,0
gene-PLEKHG1|PLEKHG1,114,39,124,196,130,107,1502,227
gene-LOC119870751|LOC119870751,0,0,0,0,0,0,0,0
gene-IYD|IYD,7139,2190,1773,4694,4903,10660,3356,3015
gene-LOC111095761|LOC111095761,0,0,0,6,0,7,11,0
gene-MTHFD1L|MTHFD1L,275,2340,275,280,132,344,1164,251
gene-ZBTB2|ZBTB2,179,176,322,342,303,340,1431,387
gene-LOC119870752|LOC119870752,0,0,0,0,5,0,0,0
gene-AKAP12|AKAP12,456,205,828,2453,1686,2607,8411,1241
gene-LOC119869943|LOC119869943,0,0,0,0,0,0,2,0
gene-RMND1|RMND1,680,262,502,1074,1059,2329,2726,846
gene-ARMT1|ARMT1,952,693,1064,817,2038,1823,5279,2194
gene-LOC119870753|LOC119870753,0,0,0,0,0,0,0,0
gene-LOC102151483|LOC102151483,0,0,0,0,0,0,0,0
gene-ESR1|ESR1,21,0,112,74,62,81,245,46
gene-CCDC170|CCDC170,2354,192,83,1891,1489,2106,8172,632
gene-LOC111095762|LOC111095762,122,5,16,211,314,241,512,103
gene-SYNE1|SYNE1,229,411,539,867,707,1005,3311,433
gene-MYCT1|MYCT1,337,92,458,247,475,392,2662,624
gene-LOC100683830|LOC100683830,22,10,2,8,0,1,9,6
gene-FBXO5|FBXO5,18,46,118,49,97,54,410,112
gene-MTRF1L|MTRF1L,122,111,178,297,225,373,718,208
gene-RGS17|RGS17,16,11,51,31,48,21,86,34
gene-LOC119870660|LOC119870660,0,0,0,0,0,0,0,0
gene-LOC119869848|LOC119869848,0,0,0,0,0,0,0,0
gene-LOC119869885|LOC119869885,0,0,0,0,0,0,0,0
gene-LOC119870755|LOC119870755,0,0,5,0,0,0,3,0
gene-IPCEF1|IPCEF1,30,28,113,144,238,146,1383,235
gene-CNKSR3|CNKSR3,298,416,421,1569,563,1818,3753,1565
gene-LOC111095850|LOC111095850,60,15,24,49,74,111,303,117
gene-LOC119870758|LOC119870758,4,10,9,29,42,60,97,34
gene-SCAF8|SCAF8,836,1070,994,966,1314,1541,3687,1792
gene-LOC102157211|LOC102157211,0,0,0,3,0,0,0,0
gene-LOC119870757|LOC119870757,0,0,7,6,3,17,20,14
gene-LOC111095840|LOC111095840,6,2,3,5,0,0,1,2
gene-TIAM2|TIAM2,11,25,95,31,52,36,309,65
gene-CLDN20|CLDN20,0,0,3,3,2,0,5,0
gene-LOC100684752|LOC100684752,0,0,0,0,0,0,0,0
gene-TFB1M|TFB1M,112,238,641,290,261,486,751,303
gene-LOC102153553|LOC102153553,0,0,0,5,0,6,0,0
gene-LOC119870146|LOC119870146,0,0,0,5,0,0,0,0
gene-LOC111095860|LOC111095860,0,0,0,30,19,0,20,31
gene-TMEM242|TMEM242,978,909,1103,1196,1825,1994,4774,1842
gene-LDHAL6B|LDHAL6B,15,18,23,122,63,57,184,56
gene-ARID1B|ARID1B,484,868,922,1458,643,898,2486,935
gene-LOC119870759|LOC119870759,10,5,47,46,62,65,125,32
gene-ZDHHC14|ZDHHC14,139,221,72,61,26,51,282,34
gene-LOC106558666|LOC106558666,154,189,115,49,43,93,189,50
gene-LOC111090679|LOC111090679,0,0,0,0,0,0,8,0
gene-SYNJ2|SYNJ2,232,515,747,1303,512,516,1308,411
gene-LOC119870761|LOC119870761,0,0,0,8,4,0,7,0
gene-LOC111095864|LOC111095864,0,0,0,0,0,0,3,0
gene-SNX9|SNX9,1805,1865,1512,3197,1941,3330,9162,2214
gene-LOC102154517|LOC102154517,11,14,52,83,82,70,127,68
gene-LOC111095865|LOC111095865,0,0,0,0,0,0,0,2
gene-SERAC1|SERAC1,365,199,494,579,358,596,1841,645
gene-GTF2H5|GTF2H5,304,187,572,1092,1824,1804,5983,1148
gene-DYNLT1|DYNLT1,213,386,671,1241,406,945,4016,242
gene-TULP4|TULP4,90,183,186,387,104,146,686,205
gene-LOC119869898|LOC119869898,0,0,0,0,0,0,0,0
gene-LOC106558715|LOC106558715,31,71,74,60,83,119,202,69
gene-LOC111095871|LOC111095871,0,0,0,2,3,3,9,0
gene-TMEM181|TMEM181,243,363,464,571,474,719,2867,448
gene-SYTL3|SYTL3,33,17,39,146,156,172,735,63
gene-LOC119881479|LOC119881479,1,2,1,1,0,2,4,2
gene-LOC111095873|LOC111095873,4,4,11,0,10,10,19,17
gene-LOC111095882|LOC111095882,0,0,0,0,0,0,0,0
gene-FNDC1|FNDC1,8,95,261,202,163,62,94,48
gene-LOC119869892|LOC119869892,0,0,1,0,0,0,3,1
gene-LOC111095876|LOC111095876,6,0,19,13,8,27,58,11
gene-LOC119870147|LOC119870147,0,0,3,0,3,7,7,3
gene-TAGAP|TAGAP,33,87,152,249,185,165,4471,107
gene-RSPH3|RSPH3,36,44,43,56,36,15,150,34
gene-EZR|EZR,1417,4252,2989,4369,2028,3059,13151,1467
gene-WTAP|WTAP,1231,924,2166,2531,3004,3294,9308,3250
gene-LOC119869923|LOC119869923,1,0,0,0,1,0,0,0
gene-SOD2|SOD2,10446,5084,10898,21498,21302,23631,235754,31130
gene-MRPL18|MRPL18,892,1251,975,3280,2233,4507,7887,1921
gene-LOC119869912|LOC119869912,0,0,0,9,6,2,9,2
gene-ACAT2|ACAT2,3376,2901,2238,5490,4015,9783,12590,3426
gene-TCP1|TCP1,2443,4959,3479,5916,3727,7814,13274,4725
gene-MIR1836|MIR1836,2,1,1,4,4,7,12,4
rna-NR_049245.1|MIR1836,1,1,1,1,1,1,1,1
gene-LOC111095908|LOC111095908,0,0,0,6,13,21,14,3
gene-IGF2R|IGF2R,1381,5018,1802,6703,2685,4281,8558,2831
gene-SLC22A2|SLC22A2,271,61,93,83,52,160,1187,55
gene-SLC22A1|SLC22A1,2826,860,1286,2435,5486,10030,22420,4319
gene-MAP3K4|MAP3K4,218,627,501,756,302,912,1118,671
gene-LOC119869932|LOC119869932,0,0,1,0,0,0,2,3
gene-AGPAT4|AGPAT4,93,32,115,89,49,74,422,49
gene-LOC119870767|LOC119870767,0,0,0,0,0,0,0,0
gene-PACRG|PACRG,7,0,0,7,31,0,21,0
gene-LOC111095932|LOC111095932,0,0,0,0,0,0,0,0
gene-LOC111095928|LOC111095928,0,0,0,0,0,0,0,2
gene-LOC111095927|LOC111095927,0,0,0,0,0,0,3,0
gene-PRKN|PRKN,50,50,49,220,93,102,277,101
gene-LOC102157285|LOC102157285,5,7,5,12,0,3,6,0
gene-LOC102151615|LOC102151615,50,31,63,99,129,144,342,114
gene-QKI|QKI,1038,1258,1261,2355,644,861,3697,1637
gene-LOC102152011|LOC102152011,0,0,0,0,0,0,0,0
gene-PDE10A|PDE10A,6,6,40,22,17,49,163,16
gene-SFT2D1|SFT2D1,1090,535,1390,2561,1717,2510,10736,1787
gene-LOC119870766|LOC119870766,0,0,0,4,0,9,0,0
gene-SLC22A3|SLC22A3,1134,287,127,2059,5935,6723,13397,3679
gene-PLG|PLG,118352,155017,100802,247082,214680,305139,636670,170199
gene-MPC1|MPC1,2744,3941,7577,28565,6807,17096,73160,7624
gene-LOC119870667|LOC119870667,3,0,0,0,0,0,12,0
gene-RPS6KA2|RPS6KA2,60,142,322,504,209,255,3860,209
